artist,album,track
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Here Comes a Thought
Sango,In The Comfort Of,Sweet Holy Honey (feat. Xavier Omär)
Aaliyah,Age Ain't Nothing But A Number,Age Ain't Nothing But a Number
Mitski,Be the Cowboy,Why Didn't You Stop Me?
Sunni Colón,Satin Psicodelic,Mornin Dew
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Stronger Than You
Jidenna,The Chief,Trampoline
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Peace and Love on the Planet Earth
Taylor Swift,reputation,Don’t Blame Me
45 Roller,Rain / Outrun,Rain
Lomelda,Thx,Interstate Vision
Mitski,Be the Cowboy,Old Friend
Tori Amos,The Light Princess,"Tinkle, Drizzle, Bubble and Gush"
Zoe Lister-Jones,"The Dirty Dishes EP (Original Songs from the Motion Picture ""Band Aid"")",Love and Lies
Mitski,"Retired from Sad, New Career in Business",Square (Solo Piano Version)
Tori Amos,The Light Princess,Pt.2 : Queen Of The Lake
Tori Amos,The Light Princess,Highness In The Sky
Tori Amos,The Light Princess,Darkest Hour
Nirvana,In Utero - 20th Anniversary Remaster,Tourette's
Björk,Utopia,Sue Me
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Empire City
Mirah,Understanding,Sundial
Björk,Vespertine,Aurora
Nirvana,In Utero - 20th Anniversary Remaster,Heart-Shaped Box
Beirut,The Flying Club Cup,Un Dernier Verre (Pour La Route)
Teyana Taylor,K.T.S.E.,Rose In Harlem
Mirah,Changing Light,Radiomind
Sango,In The Comfort Of,Chemistry (feat. JMSN)
Nirvana,MTV Unplugged In New York,Lake Of Fire
Björk,Vespertine,Cocoon
Jidenna,The Chief,Bambi
Mitski,Bury Me At Makeout Creek,Townie
Björk,Debut,Come to Me
Run The Jewels,Run the Jewels 3,Hey Kids (Bumaye) [feat. Danny Brown]
Mirah,Understanding,Hot Hot
Run The Jewels,Run the Jewels 3,Talk to Me
Mirah,(A)SPERA,Gone Are The Days
Big K.R.I.T.,K.R.I.T. HERE,K.R.I.T. HERE
Mirah,(A)SPERA,Shells
Mitski,Be the Cowboy,Come into the Water
Nirvana,MTV Unplugged In New York,Pennyroyal Tea
Jidenna,Boomerang,Spy Candy (feat. Tiwa Savage)
Mirah,Understanding,Counting
Lotte Kestner,The Bluebird of Happiness,Cliff
